DATA_TYPE_OTHER,,,,,,,,FLOAT,STRING,CHAR,BOOLEAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,,,,,,,,,,,,id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAR_DECL,,,,,,,DATA_TYPE VAR_LIST ;,DATA_TYPE VAR_LIST ;,DATA_TYPE VAR_LIST ;,DATA_TYPE VAR_LIST ;,DATA_TYPE VAR_LIST ;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAR_LIST,,,,,,,,,,,,ID OTHER_VAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OTHER_VAR,,,,,,'',,,,,,,COMMA VAR_LIST,,,,,,,,,,,,,,,,,,,,,,,,,,ASSIGN_VALUE,,,,,,,
INPUT_STMT,,,,,,,,,,,,,,SCAN ( ID_SCAN ) ;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_SCAN,,,,,,,,,,,,ID ID_OPT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_OPT,,'',,,,,,,,,,,COMMA ID_SCAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OUTPUT_STMT,,,,,,,,,,,,,,,DISPLAY ( OUTPUT_STMT_PARAM ) ;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OUTPUT_STMT_PARAM,,,,,,,,,,,,,,,,STRING_LITERAL STRING_LITERAL_OPT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STRING_LITERAL_OPT,,'',,,,,,,,,,,COMMA OUTPUT_EXT OUTPUT_STMT_PARAM_OPT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OUTPUT_STMT_PARAM_OPT,,'',,,,,,,,,,,COMMA OUTPUT_STMT_PARAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OUTPUT_EXT,,OUTPUT_EXT_EXP,,,,,,,,,,OUTPUT_EXT_ID,OUTPUT_EXT_EXP,,,,OUTPUT_EXT_EXP,OUTPUT_EXT_EXP,,OUTPUT_EXT_EXP,OUTPUT_EXT_EXP,OUTPUT_EXT_EXP,OUTPUT_EXT_EXP,OUTPUT_EXT_EXP,OUTPUT_EXT_EXP,OUTPUT_EXT_EXP,OUTPUT_EXT_EXP,OUTPUT_EXT_EXP,OUTPUT_EXT_EXP,OUTPUT_EXT_EXP,OUTPUT_EXT_EXP,OUTPUT_EXT_EXP,OUTPUT_EXT_EXP,,,,,,,,,,,,,
OUTPUT_EXT_ID,,,,,,,,,,,,ID OUTPUT_EXT_EXP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OUTPUT_EXT_EXP,,OTHER_TERM,,,,,,,,,,,OTHER_TERM,,,,OTHER_TERM,OTHER_TERM,,OTHER_TERM,OTHER_TERM,OTHER_TERM,OTHER_TERM,OTHER_TERM,OTHER_TERM,OTHER_TERM,OTHER_TERM,OTHER_TERM,OTHER_TERM,OTHER_TERM,OTHER_TERM,OTHER_TERM,OTHER_TERM,,,,,,,,,,,,,
EXPRESSION,( TERM OTHER_TERM ) OTHER_EXP_TERM,,,,,,,,,,,TERM OTHER_TERM,,,,TERM OTHER_TERM,=++ TERM EXPRESSION_OPT,=-- TERM EXPRESSION_OPT,! EXPRESSION_OPT,,,,,,,,,,,,,,,TERM OTHER_TERM,TERM OTHER_TERM,TERM OTHER_TERM,TERM OTHER_TERM,TERM OTHER_TERM,,,,,,,,
EXPRESSION_OPT,EXPRESSION,,,,,,,,,,,EXPRESSION,,,,EXPRESSION,EXPRESSION,EXPRESSION,EXPRESSION,,,,,,,,,,,,,,,EXPRESSION,EXPRESSION,EXPRESSION,EXPRESSION,EXPRESSION,,,,,,,,
OTHER_TERM,,'',,,,'',,,,,,,'',,,,=++ TERM OTHER_TERM,=-- TERM OTHER_TERM,,=+ TERM OTHER_TERM,=- TERM OTHER_TERM,* TERM OTHER_TERM,/ TERM OTHER_TERM,% TERM OTHER_TERM,DIV TERM OTHER_TERM,&& EXPRESSION,|| EXPRESSION,> EXPRESSION,>= EXPRESSION,< EXPRESSION,<= EXPRESSION,== EXPRESSION,!= EXPRESSION,,,,,,,,,,,,,
TERM,,,,,,,,,,,,ID,,,,CONST_VALUE,,,,,,,,,,,,,,,,,,CONST_VALUE,CONST_VALUE,CONST_VALUE,CONST_VALUE,CONST_VALUE,,,,,,,,
CONST_VALUE,,,,,,,,,,,,,,,,STRING_LITERAL,,,,,,,,,,,,,,,,,,INT_LITERAL,FLOAT_LITERAL,CHAR_LITERAL,BOOLEAN_LITERAL,BOOLEAN_LITERAL,,,,,,,,
